- Recebido pacote de Reply [nodeId: 4, packetId: 2, RSSISend: -58, RSSIRecv: -57]
- Recebido pacote de Reply [nodeId: 4, packetId: 3, RSSISend: -59, RSSIRecv: -58]
- Recebido pacote de Reply [nodeId: 4, packetId: 4, RSSISend: -61, RSSIRecv: -61]
- Recebido pacote de Reply [nodeId: 4, packetId: 5, RSSISend: -61, RSSIRecv: -62]
- Recebido pacote de Reply [nodeId: 4, packetId: 6, RSSISend: -58, RSSIRecv: -61]
- Recebido pacote de Reply [nodeId: 4, packetId: 7, RSSISend: -59, RSSIRecv: -61]
- Recebido pacote de Reply [nodeId: 4, packetId: 9, RSSISend: -59, RSSIRecv: -60]
- Recebido pacote de Reply [nodeId: 4, packetId: 10, RSSISend: -59, RSSIRecv: -63]
- Recebido pacote de Reply [nodeId: 4, packetId: 11, RSSISend: -59, RSSIRecv: -63]
- Recebido pacote de Reply [nodeId: 4, packetId: 12, RSSISend: -59, RSSIRecv: -63]
- Recebido pacote de Reply [nodeId: 4, packetId: 14, RSSISend: -58, RSSIRecv: -62]
- Recebido pacote de Reply [nodeId: 4, packetId: 15, RSSISend: -62, RSSIRecv: -62]
- Recebido pacote de Reply [nodeId: 4, packetId: 16, RSSISend: -59, RSSIRecv: -60]
- Recebido pacote de Reply [nodeId: 4, packetId: 17, RSSISend: -59, RSSIRecv: -58]
- Recebido pacote de Reply [nodeId: 4, packetId: 18, RSSISend: -59, RSSIRecv: -59]
- Recebido pacote de Reply [nodeId: 4, packetId: 20, RSSISend: -60, RSSIRecv: -58]
- Recebido pacote de Reply [nodeId: 4, packetId: 22, RSSISend: -60, RSSIRecv: -59]
- Recebido pacote de Reply [nodeId: 4, packetId: 25, RSSISend: -62, RSSIRecv: -63]
- Recebido pacote de Reply [nodeId: 4, packetId: 26, RSSISend: -60, RSSIRecv: -60]
- Recebido pacote de Reply [nodeId: 4, packetId: 27, RSSISend: -60, RSSIRecv: -62]
- Recebido pacote de Reply [nodeId: 4, packetId: 28, RSSISend: -59, RSSIRecv: -61]
- Recebido pacote de Reply [nodeId: 4, packetId: 30, RSSISend: -60, RSSIRecv: -58]
- Recebido pacote de Reply [nodeId: 4, packetId: 32, RSSISend: -59, RSSIRecv: -62]
- Recebido pacote de Reply [nodeId: 4, packetId: 35, RSSISend: -60, RSSIRecv: -61]
- Recebido pacote de Reply [nodeId: 4, packetId: 36, RSSISend: -61, RSSIRecv: -61]
- Recebido pacote de Reply [nodeId: 4, packetId: 39, RSSISend: -61, RSSIRecv: -61]
- Recebido pacote de Reply [nodeId: 4, packetId: 40, RSSISend: -62, RSSIRecv: -63]
- Recebido pacote de Reply [nodeId: 4, packetId: 42, RSSISend: -59, RSSIRecv: -61]
- Recebido pacote de Reply [nodeId: 4, packetId: 43, RSSISend: -59, RSSIRecv: -58]
- Recebido pacote de Reply [nodeId: 4, packetId: 46, RSSISend: -59, RSSIRecv: -60]
- Recebido pacote de Reply [nodeId: 4, packetId: 47, RSSISend: -59, RSSIRecv: -61]
- Recebido pacote de Reply [nodeId: 4, packetId: 48, RSSISend: -60, RSSIRecv: -61]
- Recebido pacote de Reply [nodeId: 4, packetId: 49, RSSISend: -59, RSSIRecv: -60]
- Recebido pacote de Reply [nodeId: 4, packetId: 50, RSSISend: -59, RSSIRecv: -60]
- Recebido pacote de Reply [nodeId: 4, packetId: 1, RSSISend: -60, RSSIRecv: -59]
- Recebido pacote de Reply [nodeId: 4, packetId: 2, RSSISend: -60, RSSIRecv: -59]
- Recebido pacote de Reply [nodeId: 4, packetId: 3, RSSISend: -60, RSSIRecv: -59]
- Recebido pacote de Reply [nodeId: 4, packetId: 4, RSSISend: -60, RSSIRecv: -59]
- Recebido pacote de Reply [nodeId: 4, packetId: 5, RSSISend: -60, RSSIRecv: -60]
- Recebido pacote de Reply [nodeId: 4, packetId: 6, RSSISend: -60, RSSIRecv: -61]
- Recebido pacote de Reply [nodeId: 4, packetId: 8, RSSISend: -59, RSSIRecv: -61]
- Recebido pacote de Reply [nodeId: 4, packetId: 10, RSSISend: -61, RSSIRecv: -64]
- Recebido pacote de Reply [nodeId: 4, packetId: 1, RSSISend: -62, RSSIRecv: -61]
- Recebido pacote de Reply [nodeId: 4, packetId: 3, RSSISend: -61, RSSIRecv: -59]
- Recebido pacote de Reply [nodeId: 4, packetId: 6, RSSISend: -62, RSSIRecv: -59]
- Recebido pacote de Reply [nodeId: 4, packetId: 2, RSSISend: -60, RSSIRecv: -57]
- Recebido pacote de Reply [nodeId: 4, packetId: 3, RSSISend: -62, RSSIRecv: -56]
- Recebido pacote de Reply [nodeId: 4, packetId: 4, RSSISend: -59, RSSIRecv: -56]
- Recebido pacote de Reply [nodeId: 4, packetId: 5, RSSISend: -61, RSSIRecv: -56]
- Recebido pacote de Reply [nodeId: 4, packetId: 6, RSSISend: -59, RSSIRecv: -57]
- Recebido pacote de Reply [nodeId: 4, packetId: 7, RSSISend: -60, RSSIRecv: -56]
- Recebido pacote de Reply [nodeId: 4, packetId: 8, RSSISend: -61, RSSIRecv: -58]
- Recebido pacote de Reply [nodeId: 4, packetId: 9, RSSISend: -61, RSSIRecv: -59]
- Recebido pacote de Reply [nodeId: 4, packetId: 10, RSSISend: -59, RSSIRecv: -58]
- Recebido pacote de Reply [nodeId: 4, packetId: 18, RSSISend: -58, RSSIRecv: -57]
- Recebido pacote de Reply [nodeId: 4, packetId: 19, RSSISend: -58, RSSIRecv: -59]
- Recebido pacote de Reply [nodeId: 4, packetId: 21, RSSISend: -59, RSSIRecv: -59]
- Recebido pacote de Reply [nodeId: 4, packetId: 22, RSSISend: -60, RSSIRecv: -59]
- Recebido pacote de Reply [nodeId: 4, packetId: 23, RSSISend: -59, RSSIRecv: -59]
- Recebido pacote de Reply [nodeId: 4, packetId: 25, RSSISend: -57, RSSIRecv: -56]
- Recebido pacote de Reply [nodeId: 4, packetId: 26, RSSISend: -57, RSSIRecv: -56]
- Recebido pacote de Reply [nodeId: 4, packetId: 34, RSSISend: -58, RSSIRecv: -58]
- Recebido pacote de Reply [nodeId: 4, packetId: 35, RSSISend: -57, RSSIRecv: -57]
- Recebido pacote de Reply [nodeId: 4, packetId: 36, RSSISend: -58, RSSIRecv: -57]
- Recebido pacote de Reply [nodeId: 4, packetId: 37, RSSISend: -57, RSSIRecv: -57]
- Recebido pacote de Reply [nodeId: 4, packetId: 38, RSSISend: -58, RSSIRecv: -60]
- Recebido pacote de Reply [nodeId: 4, packetId: 40, RSSISend: -60, RSSIRecv: -62]
- Recebido pacote de Reply [nodeId: 4, packetId: 42, RSSISend: -59, RSSIRecv: -59]
- Recebido pacote de Reply [nodeId: 4, packetId: 44, RSSISend: -59, RSSIRecv: -59]
- Recebido pacote de Reply [nodeId: 4, packetId: 45, RSSISend: -59, RSSIRecv: -60]
- Recebido pacote de Reply [nodeId: 4, packetId: 50, RSSISend: -60, RSSIRecv: -61]
- Recebido pacote de Reply [nodeId: 4, packetId: 52, RSSISend: -58, RSSIRecv: -60]
- Recebido pacote de Reply [nodeId: 4, packetId: 55, RSSISend: -60, RSSIRecv: -59]
- Recebido pacote de Reply [nodeId: 4, packetId: 56, RSSISend: -59, RSSIRecv: -59]
- Recebido pacote de Reply [nodeId: 4, packetId: 58, RSSISend: -59, RSSIRecv: -56]
- Recebido pacote de Reply [nodeId: 4, packetId: 59, RSSISend: -59, RSSIRecv: -58]
- Recebido pacote de Reply [nodeId: 4, packetId: 60, RSSISend: -61, RSSIRecv: -60]
- Recebido pacote de Reply [nodeId: 4, packetId: 61, RSSISend: -59, RSSIRecv: -61]
- Recebido pacote de Reply [nodeId: 4, packetId: 62, RSSISend: -59, RSSIRecv: -58]
- Recebido pacote de Reply [nodeId: 4, packetId: 63, RSSISend: -58, RSSIRecv: -60]
- Recebido pacote de Reply [nodeId: 4, packetId: 65, RSSISend: -61, RSSIRecv: -60]
- Recebido pacote de Reply [nodeId: 4, packetId: 2, RSSISend: -59, RSSIRecv: -61]
- Recebido pacote de Reply [nodeId: 4, packetId: 4, RSSISend: -59, RSSIRecv: -60]
- Recebido pacote de Reply [nodeId: 4, packetId: 6, RSSISend: -59, RSSIRecv: -61]
- Recebido pacote de Reply [nodeId: 4, packetId: 7, RSSISend: -59, RSSIRecv: -59]
- Recebido pacote de Reply [nodeId: 4, packetId: 8, RSSISend: -60, RSSIRecv: -61]
