- Recebido pacote de Reply [nodeId: 2, packetId: 1, RSSISend: -57, RSSIRecv: -53]
- Recebido pacote de Reply [nodeId: 2, packetId: 2, RSSISend: -55, RSSIRecv: -53]
- Recebido pacote de Reply [nodeId: 2, packetId: 5, RSSISend: -57, RSSIRecv: -54]
- Recebido pacote de Reply [nodeId: 2, packetId: 8, RSSISend: -59, RSSIRecv: -56]
- Recebido pacote de Reply [nodeId: 2, packetId: 10, RSSISend: -57, RSSIRecv: -54]
- Recebido pacote de Reply [nodeId: 2, packetId: 12, RSSISend: -59, RSSIRecv: -56]
- Recebido pacote de Reply [nodeId: 2, packetId: 13, RSSISend: -59, RSSIRecv: -55]
- Recebido pacote de Reply [nodeId: 2, packetId: 14, RSSISend: -60, RSSIRecv: -56]
- Recebido pacote de Reply [nodeId: 2, packetId: 15, RSSISend: -58, RSSIRecv: -53]
- Recebido pacote de Reply [nodeId: 2, packetId: 16, RSSISend: -58, RSSIRecv: -53]
- Recebido pacote de Reply [nodeId: 2, packetId: 17, RSSISend: -58, RSSIRecv: -54]
- Recebido pacote de Reply [nodeId: 2, packetId: 18, RSSISend: -58, RSSIRecv: -53]
- Recebido pacote de Reply [nodeId: 2, packetId: 19, RSSISend: -59, RSSIRecv: -56]
- Recebido pacote de Reply [nodeId: 2, packetId: 20, RSSISend: -57, RSSIRecv: -54]
- Recebido pacote de Reply [nodeId: 2, packetId: 25, RSSISend: -58, RSSIRecv: -54]
- Recebido pacote de Reply [nodeId: 2, packetId: 1, RSSISend: -58, RSSIRecv: -55]
- Recebido pacote de Reply [nodeId: 2, packetId: 2, RSSISend: -58, RSSIRecv: -54]
- Recebido pacote de Reply [nodeId: 2, packetId: 7, RSSISend: -59, RSSIRecv: -56]
- Recebido pacote de Reply [nodeId: 2, packetId: 12, RSSISend: -59, RSSIRecv: -54]
- Recebido pacote de Reply [nodeId: 2, packetId: 13, RSSISend: -59, RSSIRecv: -54]
- Recebido pacote de Reply [nodeId: 2, packetId: 24, RSSISend: -61, RSSIRecv: -56]
- Recebido pacote de Reply [nodeId: 2, packetId: 29, RSSISend: -62, RSSIRecv: -57]
- Recebido pacote de Reply [nodeId: 2, packetId: 31, RSSISend: -62, RSSIRecv: -57]
- Recebido pacote de Reply [nodeId: 2, packetId: 32, RSSISend: -63, RSSIRecv: -59]
- Recebido pacote de Reply [nodeId: 2, packetId: 34, RSSISend: -63, RSSIRecv: -59]
- Recebido pacote de Reply [nodeId: 2, packetId: 35, RSSISend: -64, RSSIRecv: -59]
- Recebido pacote de Reply [nodeId: 2, packetId: 37, RSSISend: -63, RSSIRecv: -59]
- Recebido pacote de Reply [nodeId: 2, packetId: 38, RSSISend: -64, RSSIRecv: -59]
- Recebido pacote de Reply [nodeId: 2, packetId: 52, RSSISend: -62, RSSIRecv: -57]
- Recebido pacote de Reply [nodeId: 2, packetId: 4, RSSISend: -59, RSSIRecv: -56]
- Recebido pacote de Reply [nodeId: 2, packetId: 5, RSSISend: -59, RSSIRecv: -54]
- Recebido pacote de Reply [nodeId: 2, packetId: 6, RSSISend: -62, RSSIRecv: -54]
- Recebido pacote de Reply [nodeId: 2, packetId: 8, RSSISend: -61, RSSIRecv: -54]
- Recebido pacote de Reply [nodeId: 2, packetId: 12, RSSISend: -57, RSSIRecv: -52]
- Recebido pacote de Reply [nodeId: 2, packetId: 15, RSSISend: -59, RSSIRecv: -56]
- Recebido pacote de Reply [nodeId: 2, packetId: 18, RSSISend: -59, RSSIRecv: -54]
- Recebido pacote de Reply [nodeId: 2, packetId: 19, RSSISend: -55, RSSIRecv: -56]
- Recebido pacote de Reply [nodeId: 2, packetId: 20, RSSISend: -58, RSSIRecv: -52]
- Recebido pacote de Reply [nodeId: 2, packetId: 23, RSSISend: -59, RSSIRecv: -57]
- Recebido pacote de Reply [nodeId: 2, packetId: 26, RSSISend: -57, RSSIRecv: -53]
- Recebido pacote de Reply [nodeId: 2, packetId: 27, RSSISend: -57, RSSIRecv: -51]
- Recebido pacote de Reply [nodeId: 2, packetId: 29, RSSISend: -55, RSSIRecv: -51]
- Recebido pacote de Reply [nodeId: 2, packetId: 30, RSSISend: -55, RSSIRecv: -51]
- Recebido pacote de Reply [nodeId: 2, packetId: 32, RSSISend: -57, RSSIRecv: -51]
- Recebido pacote de Reply [nodeId: 2, packetId: 34, RSSISend: -56, RSSIRecv: -52]
