- Recebido pacote de Reply [nodeId: 3, packetId: 1, RSSISend: -58, RSSIRecv: -59]
- Recebido pacote de Reply [nodeId: 3, packetId: 2, RSSISend: -58, RSSIRecv: -58]
- Recebido pacote de Reply [nodeId: 3, packetId: 3, RSSISend: -59, RSSIRecv: -59]
- Recebido pacote de Reply [nodeId: 3, packetId: 4, RSSISend: -56, RSSIRecv: -53]
- Recebido pacote de Reply [nodeId: 3, packetId: 5, RSSISend: -56, RSSIRecv: -56]
- Recebido pacote de Reply [nodeId: 3, packetId: 6, RSSISend: -56, RSSIRecv: -56]
- Recebido pacote de Reply [nodeId: 3, packetId: 7, RSSISend: -55, RSSIRecv: -54]
- Recebido pacote de Reply [nodeId: 3, packetId: 16, RSSISend: -52, RSSIRecv: -53]
- Recebido pacote de Reply [nodeId: 3, packetId: 17, RSSISend: -54, RSSIRecv: -54]
- Recebido pacote de Reply [nodeId: 3, packetId: 18, RSSISend: -53, RSSIRecv: -53]
- Recebido pacote de Reply [nodeId: 3, packetId: 20, RSSISend: -54, RSSIRecv: -53]
- Recebido pacote de Reply [nodeId: 3, packetId: 21, RSSISend: -55, RSSIRecv: -51]
- Recebido pacote de Reply [nodeId: 3, packetId: 23, RSSISend: -55, RSSIRecv: -51]
- Recebido pacote de Reply [nodeId: 3, packetId: 24, RSSISend: -54, RSSIRecv: -53]
- Recebido pacote de Reply [nodeId: 3, packetId: 25, RSSISend: -55, RSSIRecv: -53]
- Recebido pacote de Reply [nodeId: 3, packetId: 1, RSSISend: -54, RSSIRecv: -53]
- Recebido pacote de Reply [nodeId: 3, packetId: 2, RSSISend: -54, RSSIRecv: -53]
- Recebido pacote de Reply [nodeId: 3, packetId: 3, RSSISend: -54, RSSIRecv: -54]
- Recebido pacote de Reply [nodeId: 3, packetId: 5, RSSISend: -54, RSSIRecv: -55]
- Recebido pacote de Reply [nodeId: 3, packetId: 6, RSSISend: -55, RSSIRecv: -54]
- Recebido pacote de Reply [nodeId: 3, packetId: 7, RSSISend: -54, RSSIRecv: -54]
- Recebido pacote de Reply [nodeId: 3, packetId: 9, RSSISend: -55, RSSIRecv: -51]
- Recebido pacote de Reply [nodeId: 3, packetId: 10, RSSISend: -53, RSSIRecv: -55]
- Recebido pacote de Reply [nodeId: 3, packetId: 11, RSSISend: -60, RSSIRecv: -57]
- Recebido pacote de Reply [nodeId: 3, packetId: 13, RSSISend: -55, RSSIRecv: -54]
- Recebido pacote de Reply [nodeId: 3, packetId: 14, RSSISend: -54, RSSIRecv: -54]
- Recebido pacote de Reply [nodeId: 3, packetId: 16, RSSISend: -54, RSSIRecv: -53]
- Recebido pacote de Reply [nodeId: 3, packetId: 17, RSSISend: -54, RSSIRecv: -54]
- Recebido pacote de Reply [nodeId: 3, packetId: 18, RSSISend: -54, RSSIRecv: -59]
- Recebido pacote de Reply [nodeId: 3, packetId: 19, RSSISend: -54, RSSIRecv: -62]
- Recebido pacote de Reply [nodeId: 3, packetId: 20, RSSISend: -55, RSSIRecv: -52]
- Recebido pacote de Reply [nodeId: 3, packetId: 21, RSSISend: -56, RSSIRecv: -55]
- Recebido pacote de Reply [nodeId: 3, packetId: 22, RSSISend: -57, RSSIRecv: -57]
- Recebido pacote de Reply [nodeId: 3, packetId: 23, RSSISend: -58, RSSIRecv: -58]
- Recebido pacote de Reply [nodeId: 3, packetId: 24, RSSISend: -59, RSSIRecv: -57]
- Recebido pacote de Reply [nodeId: 3, packetId: 25, RSSISend: -58, RSSIRecv: -56]
- Recebido pacote de Reply [nodeId: 3, packetId: 26, RSSISend: -57, RSSIRecv: -56]
- Recebido pacote de Reply [nodeId: 3, packetId: 27, RSSISend: -58, RSSIRecv: -57]
- Recebido pacote de Reply [nodeId: 3, packetId: 28, RSSISend: -59, RSSIRecv: -57]
- Recebido pacote de Reply [nodeId: 3, packetId: 39, RSSISend: -59, RSSIRecv: -60]
- Recebido pacote de Reply [nodeId: 3, packetId: 40, RSSISend: -63, RSSIRecv: -60]
- Recebido pacote de Reply [nodeId: 3, packetId: 41, RSSISend: -62, RSSIRecv: -58]
- Recebido pacote de Reply [nodeId: 3, packetId: 42, RSSISend: -62, RSSIRecv: -58]
- Recebido pacote de Reply [nodeId: 3, packetId: 44, RSSISend: -60, RSSIRecv: -60]
- Recebido pacote de Reply [nodeId: 3, packetId: 45, RSSISend: -59, RSSIRecv: -58]
- Recebido pacote de Reply [nodeId: 3, packetId: 46, RSSISend: -61, RSSIRecv: -60]
- Recebido pacote de Reply [nodeId: 3, packetId: 47, RSSISend: -59, RSSIRecv: -59]
- Recebido pacote de Reply [nodeId: 3, packetId: 48, RSSISend: -58, RSSIRecv: -57]
- Recebido pacote de Reply [nodeId: 3, packetId: 49, RSSISend: -59, RSSIRecv: -59]
- Recebido pacote de Reply [nodeId: 3, packetId: 50, RSSISend: -60, RSSIRecv: -57]
- Recebido pacote de Reply [nodeId: 3, packetId: 51, RSSISend: -60, RSSIRecv: -60]
- Recebido pacote de Reply [nodeId: 3, packetId: 52, RSSISend: -60, RSSIRecv: -59]
- Recebido pacote de Reply [nodeId: 3, packetId: 53, RSSISend: -61, RSSIRecv: -58]
- Recebido pacote de Reply [nodeId: 3, packetId: 54, RSSISend: -60, RSSIRecv: -59]
- Recebido pacote de Reply [nodeId: 3, packetId: 55, RSSISend: -59, RSSIRecv: -59]
- Recebido pacote de Reply [nodeId: 3, packetId: 56, RSSISend: -61, RSSIRecv: -58]
- Recebido pacote de Reply [nodeId: 3, packetId: 57, RSSISend: -61, RSSIRecv: -60]
- Recebido pacote de Reply [nodeId: 3, packetId: 58, RSSISend: -60, RSSIRecv: -60]
- Recebido pacote de Reply [nodeId: 3, packetId: 59, RSSISend: -60, RSSIRecv: -59]
- Recebido pacote de Reply [nodeId: 3, packetId: 60, RSSISend: -60, RSSIRecv: -60]
- Recebido pacote de Reply [nodeId: 3, packetId: 61, RSSISend: -62, RSSIRecv: -59]
- Recebido pacote de Reply [nodeId: 3, packetId: 2, RSSISend: -59, RSSIRecv: -54]
- Recebido pacote de Reply [nodeId: 3, packetId: 3, RSSISend: -56, RSSIRecv: -60]
- Recebido pacote de Reply [nodeId: 3, packetId: 4, RSSISend: -57, RSSIRecv: -59]
- Recebido pacote de Reply [nodeId: 3, packetId: 5, RSSISend: -60, RSSIRecv: -59]
- Recebido pacote de Reply [nodeId: 3, packetId: 3, RSSISend: -61, RSSIRecv: -59]
- Recebido pacote de Reply [nodeId: 3, packetId: 4, RSSISend: -60, RSSIRecv: -57]
- Recebido pacote de Reply [nodeId: 3, packetId: 5, RSSISend: -60, RSSIRecv: -58]
- Recebido pacote de Reply [nodeId: 3, packetId: 6, RSSISend: -60, RSSIRecv: -59]
- Recebido pacote de Reply [nodeId: 3, packetId: 8, RSSISend: -59, RSSIRecv: -58]
- Recebido pacote de Reply [nodeId: 3, packetId: 9, RSSISend: -58, RSSIRecv: -56]
- Recebido pacote de Reply [nodeId: 3, packetId: 10, RSSISend: -59, RSSIRecv: -57]
- Recebido pacote de Reply [nodeId: 3, packetId: 11, RSSISend: -56, RSSIRecv: -56]
- Recebido pacote de Reply [nodeId: 3, packetId: 15, RSSISend: -58, RSSIRecv: -60]
- Recebido pacote de Reply [nodeId: 3, packetId: 16, RSSISend: -60, RSSIRecv: -58]
- Recebido pacote de Reply [nodeId: 3, packetId: 17, RSSISend: -58, RSSIRecv: -58]
- Recebido pacote de Reply [nodeId: 3, packetId: 18, RSSISend: -58, RSSIRecv: -58]
- Recebido pacote de Reply [nodeId: 3, packetId: 20, RSSISend: -59, RSSIRecv: -56]
- Recebido pacote de Reply [nodeId: 3, packetId: 21, RSSISend: -59, RSSIRecv: -54]
- Recebido pacote de Reply [nodeId: 3, packetId: 23, RSSISend: -57, RSSIRecv: -55]
- Recebido pacote de Reply [nodeId: 3, packetId: 24, RSSISend: -57, RSSIRecv: -55]
- Recebido pacote de Reply [nodeId: 3, packetId: 25, RSSISend: -52, RSSIRecv: -55]
- Recebido pacote de Reply [nodeId: 3, packetId: 36, RSSISend: -59, RSSIRecv: -61]
- Recebido pacote de Reply [nodeId: 3, packetId: 37, RSSISend: -59, RSSIRecv: -61]
- Recebido pacote de Reply [nodeId: 3, packetId: 38, RSSISend: -58, RSSIRecv: -59]
- Recebido pacote de Reply [nodeId: 3, packetId: 40, RSSISend: -61, RSSIRecv: -58]
- Recebido pacote de Reply [nodeId: 3, packetId: 42, RSSISend: -60, RSSIRecv: -59]
- Recebido pacote de Reply [nodeId: 3, packetId: 44, RSSISend: -61, RSSIRecv: -58]
- Recebido pacote de Reply [nodeId: 3, packetId: 45, RSSISend: -60, RSSIRecv: -58]
- Recebido pacote de Reply [nodeId: 3, packetId: 46, RSSISend: -60, RSSIRecv: -59]
- Recebido pacote de Reply [nodeId: 3, packetId: 47, RSSISend: -61, RSSIRecv: -58]
- Recebido pacote de Reply [nodeId: 3, packetId: 49, RSSISend: -61, RSSIRecv: -58]
- Recebido pacote de Reply [nodeId: 3, packetId: 50, RSSISend: -60, RSSIRecv: -59]
- Recebido pacote de Reply [nodeId: 3, packetId: 52, RSSISend: -61, RSSIRecv: -59]
- Recebido pacote de Reply [nodeId: 3, packetId: 54, RSSISend: -60, RSSIRecv: -59]
- Recebido pacote de Reply [nodeId: 3, packetId: 55, RSSISend: -60, RSSIRecv: -59]
- Recebido pacote de Reply [nodeId: 3, packetId: 56, RSSISend: -60, RSSIRecv: -58]
- Recebido pacote de Reply [nodeId: 3, packetId: 57, RSSISend: -59, RSSIRecv: -58]
- Recebido pacote de Reply [nodeId: 3, packetId: 58, RSSISend: -58, RSSIRecv: -55]
- Recebido pacote de Reply [nodeId: 3, packetId: 59, RSSISend: -60, RSSIRecv: -58]
- Recebido pacote de Reply [nodeId: 3, packetId: 60, RSSISend: -60, RSSIRecv: -62]
- Recebido pacote de Reply [nodeId: 3, packetId: 61, RSSISend: -59, RSSIRecv: -60]
- Recebido pacote de Reply [nodeId: 3, packetId: 63, RSSISend: -60, RSSIRecv: -60]
- Recebido pacote de Reply [nodeId: 3, packetId: 64, RSSISend: -60, RSSIRecv: -61]
- Recebido pacote de Reply [nodeId: 3, packetId: 65, RSSISend: -59, RSSIRecv: -60]
- Recebido pacote de Reply [nodeId: 3, packetId: 66, RSSISend: -58, RSSIRecv: -59]
- Recebido pacote de Reply [nodeId: 3, packetId: 3, RSSISend: -60, RSSIRecv: -60]
- Recebido pacote de Reply [nodeId: 3, packetId: 4, RSSISend: -60, RSSIRecv: -61]
- Recebido pacote de Reply [nodeId: 3, packetId: 7, RSSISend: -63, RSSIRecv: -59]
- Recebido pacote de Reply [nodeId: 3, packetId: 8, RSSISend: -57, RSSIRecv: -55]
- Recebido pacote de Reply [nodeId: 3, packetId: 9, RSSISend: -57, RSSIRecv: -56]
- Recebido pacote de Reply [nodeId: 3, packetId: 10, RSSISend: -57, RSSIRecv: -54]
- Recebido pacote de Reply [nodeId: 3, packetId: 11, RSSISend: -56, RSSIRecv: -55]
- Recebido pacote de Reply [nodeId: 3, packetId: 12, RSSISend: -56, RSSIRecv: -54]
- Recebido pacote de Reply [nodeId: 3, packetId: 14, RSSISend: -58, RSSIRecv: -56]
- Recebido pacote de Reply [nodeId: 3, packetId: 16, RSSISend: -56, RSSIRecv: -55]
- Recebido pacote de Reply [nodeId: 3, packetId: 18, RSSISend: -56, RSSIRecv: -54]
- Recebido pacote de Reply [nodeId: 3, packetId: 19, RSSISend: -57, RSSIRecv: -55]
- Recebido pacote de Reply [nodeId: 3, packetId: 20, RSSISend: -55, RSSIRecv: -54]
- Recebido pacote de Reply [nodeId: 3, packetId: 21, RSSISend: -55, RSSIRecv: -51]
- Recebido pacote de Reply [nodeId: 3, packetId: 23, RSSISend: -56, RSSIRecv: -54]
- Recebido pacote de Reply [nodeId: 3, packetId: 24, RSSISend: -57, RSSIRecv: -50]
- Recebido pacote de Reply [nodeId: 3, packetId: 25, RSSISend: -56, RSSIRecv: -54]
- Recebido pacote de Reply [nodeId: 3, packetId: 27, RSSISend: -56, RSSIRecv: -55]
- Recebido pacote de Reply [nodeId: 3, packetId: 29, RSSISend: -57, RSSIRecv: -56]
- Recebido pacote de Reply [nodeId: 3, packetId: 30, RSSISend: -57, RSSIRecv: -56]
- Recebido pacote de Reply [nodeId: 3, packetId: 33, RSSISend: -56, RSSIRecv: -55]
- Recebido pacote de Reply [nodeId: 3, packetId: 34, RSSISend: -57, RSSIRecv: -54]
- Recebido pacote de Reply [nodeId: 3, packetId: 35, RSSISend: -56, RSSIRecv: -55]
- Recebido pacote de Reply [nodeId: 3, packetId: 36, RSSISend: -56, RSSIRecv: -55]
- Recebido pacote de Reply [nodeId: 3, packetId: 37, RSSISend: -58, RSSIRecv: -54]
- Recebido pacote de Reply [nodeId: 3, packetId: 38, RSSISend: -57, RSSIRecv: -54]
- Recebido pacote de Reply [nodeId: 3, packetId: 39, RSSISend: -58, RSSIRecv: -55]
- Recebido pacote de Reply [nodeId: 3, packetId: 41, RSSISend: -59, RSSIRecv: -56]
